TARGET_DU:Rotation-ActVel      2020-06-09 13:45:06.850944 1.452  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:07.350989 1.502  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:07.851074 1.5557  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:08.351105 1.5593  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:08.850307 1.5628  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:09.350397 1.57  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:09.850321 1.6415  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:10.350291 1.5736  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:10.850367 1.6379  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:11.350296 1.545  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:11.850407 1.6236  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:12.350407 1.6129  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:12.850400 1.6093  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:13.350505 1.6737  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:13.850522 1.7273  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:14.350546 1.6987  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:14.850562 1.8132  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:15.350582 1.806  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:15.850654 1.7881  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:16.350748 1.8919  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:16.850775 1.9491  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:17.350853 1.8525  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:17.850845 1.9312  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:18.351862 1.8919  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:18.850936 1.8954  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:19.350957 1.874  
