TARGET_DU:Rotation-ActVel      2020-06-09 13:55:15.358075 8.601  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:15.857162 8.5759  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:16.357276 8.5723  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:16.857270 8.5151  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:17.357462 8.5652  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:17.857347 8.4794  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:18.358631 8.4615  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:18.856709 8.3685  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:19.356932 8.347  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:19.856723 8.3506  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:20.356788 8.297  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:20.856705 8.2362  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:21.356806 8.2219  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:22.356839 8.2326  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:22.856826 8.2076  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:23.356886 8.2791  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:23.856947 8.2076  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:24.856990 8.1825  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:25.357080 8.0466  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:25.857075 8.0788  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:26.357144 8.0574  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:26.857171 7.9823  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:27.357181 8.018  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:27.858212 7.9715  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:28.357263 7.9143  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:28.857304 7.8464  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:29.357393 7.8607  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:29.857417 7.8428  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:30.357429 7.8249  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:30.857400 7.7641  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:31.357490 7.875  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:31.857509 7.8392  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:32.357885 7.7319  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:32.857800 7.7605  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:33.356866 7.664  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:33.856842 7.7176  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:34.356869 7.6818  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:34.856855 7.6604  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:35.356873 7.6139  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:35.856908 7.6175  
